,ExerciseID,Chapter,Section,Question,Answer
119,119,3,2,Solve the following equation: 4+x+7=10,x=-1
120,120,3,2,Solve the following equation: 3x+5-2x+8=12,x=-1
121,121,3,3,Solve the following equation: 18w-2=10w+14,w=2
122,122,3,3,Solve the following equation: 4x+7=x+1,x=-2
123,123,3,3,Solve the following equation: 5x+3=3x+13,x=5
124,124,3,3,Solve the following equation: 13x+4-3=4x+10,x=1
125,125,3,3,Solve the following equation: 3s+10+22s=100-5s,s=3
126,126,3,3,Solve the following equation: 5d+90=3d+24,d=-33
127,127,3,3,Solve the following equation: 4v-48=9v+9-2v,v=-19
128,128,3,3,Solve the following equation: 15-4x=42-7x,x=9
129,129,3,3,Solve the following equation: 14+5y=50-4y,y=4
130,130,3,3,Solve the following equation: 36x-18-2=6x+10,x=1
131,131,3,4,Solve the following inequality: 5+c+10>=12,c>=3
132,132,3,4,Solve the following inequality: 2x-10>30,x>20
133,133,3,4,Solve the following inequality: 13+n-26<38,n<51
134,134,3,4,Solve the following inequality: w+12-3<=32,x<=23
135,135,3,4,Solve the following inequality: 2v+3v+12>32,v>4
136,136,3,4,Solve the following inequality: f+1>=-8,f>=-9
137,137,3,4,Solve the following inequality: -30>=2x-12,x<=-9
138,138,3,4,Solve the following inequality: 2x>3+9-x,x>4
139,139,3,4,Solve the following inequality: 12x-4<2x-14,x<-1
140,140,3,4,Solve the following inequality: 3x>21,x>7
141,141,3,5,Solve the following inequality: x/2<8,x<16
142,142,3,5,Solve the following inequality: 6x<-72,x<-12
143,143,3,5,Solve the following inequality: -10x>-20,x<2
144,144,3,5,Solve the following inequality: -3x<=34+2-x,x>=-18
145,145,3,5,Solve the following inequality: 12x-1>32-1+10x,x>16
146,146,3,5,Solve the following inequality: -4x>92,x<-23
147,147,3,5,Solve the following inequality: 3x>-21,x>-7
148,148,3,5,Solve the following inequality: -4x<124,x>-31
149,149,3,5,Solve the following inequality: 16s<=832,s<=52
150,150,3,5,Solve the following inequality: -16s<=832,s>=-52
